CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
16196114,502.6,C28H42N2O6,119,NULL,36,4,8,13,CC(C)N(CCNCC(COC1=CC=C(C=C1)C(C)(C)C2=CC=CC=C2)O)C(C)C.C(=O)(C(=O)O)O,0,2
16196113,451.3,C17H26INO5,57.2,NULL,24,1,6,6,C[N+]1(CCOCC1)CC(COCC2COC3=CC=CC=C3O2)O.[I-],0,2
16196107,372.75,C16H15ClF2N2O4,68.5,NULL,25,1,7,7,COC(=O)C1=C[N+](=CC=C1)CC(=O)NC2=CC=C(C=C2)OC(F)F.[Cl-],0,2
16196106,437.8,C20H15Cl3N2OS,57.3,NULL,27,1,4,5,C1=CC=C(C=C1)NC2=[N+](C(=CS2)C3=C(C=C(C=C3)Cl)Cl)CC4=CC=CO4.[Cl-],0,2
16196103,390.3,C18H20BrN3O2,65.4,NULL,24,3,3,5,CCC1=CC=C(C=C1)OCC(=O)NN2CC3=CC=CC=C3C2=N.Br,0,2
16196101,435.5,C23H21N3O4S,137,4.6,31,2,5,6,CC1=C(C=C(C=C1)C(=C(C(=S)NCC2=CC=CC=C2)[N+]3=CC=CC(=C3)CO)[O-])[N+](=O)[O-],0,1
16196096,361.35,C16H19N5O5,148,NULL,26,4,8,3,CC(=O)N1CCC(=NNC2=NC3=CC=CC=C3N2)CC1.C(=O)(C(=O)O)O,0,2
16196093,250.72,C13H15ClN2O,47.3,NULL,17,3,3,3,COC1=CC=C(C=C1)NC2=CC=CC=C2N.Cl,0,2
16196092,302.18,C13H17BrFNO,20.3,NULL,17,1,3,3,C1CCN(CC1)CC(=O)C2=CC=CC=C2F.Br,0,2
16196089,423.8,C17H16BrClN4S,94.7,NULL,24,2,3,5,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Br)CSC(=[NH2+])N.[Cl-],0,2
16196088,420.9,C20H21ClN2O4S,83.1,NULL,28,1,5,2,CCN1CCN(CC1)C(=O)C2=CC3=C(C=C2)C(=O)C4=CC=CC=C4S3(=O)=O.Cl,0,2
16196087,380.22,C15H20BrF2NO3,49.8,NULL,22,2,6,6,C1CCN(C(C1)CO)CC(=O)C2=CC=C(C=C2)OC(F)F.Br,0,2
16196077,448.8,C21H19ClF6N2,8.8,NULL,30,0,7,2,C1CCC2=[N+](CC1)C3=C(N2CC4=CC(=CC=C4)C(F)(F)F)C=C(C=C3)C(F)(F)F.[Cl-],0,2
16196076,520.5,C26H24BrN4OS+,67.7,NULL,33,2,4,5,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=[N+](C(=CS3)C4=CC=CC=C4)C5=CC=CC=C5.Br,1,2
16196056,351.3,C15H15BrN2OS,54,NULL,20,1,3,3,CC1=CSC(=NC2=CC=CC=C2)N1CC3=CC=CO3.Br,0,2
16196054,365.9,C17H20ClN3O2S,80.8,NULL,24,2,4,3,C1CN(CCN1CC2=CC=CC=C2)C(=S)NC(=O)C3=CC=CO3.Cl,0,2
16196052,418.3,C20H24BrN3O2,65.4,NULL,26,3,3,5,CC(C)(C)C1=CC=C(C=C1)OCC(=O)NN2CC3=CC=CC=C3C2=N.Br,0,2
16196051,343.26,C15H23BrN2O2,32.8,NULL,20,1,4,5,CCN1CCN(CC1)CC(=O)C2=CC=C(C=C2)OC.Br,0,2
16196049,352.4,C19H16N2O3S,92.6,NULL,25,1,4,0,CC1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC2=C(C3=C(C=CC=N3)C=C2)[NH+]=C1,0,2
16196046,546.7,C25H30N4O6S2,187,NULL,37,2,12,8,CCOC(=O)C1=C(C2=C(N=C(N=C2S1)CSC3=CC=CC=C3)N4CCCN(CC4)C)C.C(=O)(C(=O)O)O,0,2
16196042,396.7,C16H15BrClN3O2,65.4,NULL,23,3,3,4,C1C2=CC=CC=C2C(=N)N1NC(=O)COC3=CC=C(C=C3)Cl.Br,0,2
16196040,493.5,C26H27N3O7,145,NULL,36,4,8,9,CC1=CC=C(C=C1)NC(=O)CN(C)CC(=O)NC2=CC=CC=C2OC3=CC=CC=C3.C(=O)(C(=O)O)O,0,2
16196036,337.8,C21H20ClNO,21,NULL,24,0,2,5,CC1=CC=C(C=C1)C(=O)C[N+]2=CC=C(C=C2)CC3=CC=CC=C3.[Cl-],0,2
16196033,432.9,C21H15ClF2N2O2S,80.3,6.9,29,1,5,6,C1=CC=[N+](C=C1)C(=C(C2=CC=C(C=C2)OC(F)F)[O-])C(=S)NC3=CC=C(C=C3)Cl,0,1
16196030,373.1,C12H13Cl4N3S,62,NULL,20,2,3,2,CC1=CC=C(C=C1)C2=NC(N=C(N2)SC)C(Cl)(Cl)Cl.Cl,0,2
16196029,448.5,C25H18F2N2O2S,80.3,7.5,32,1,5,6,C1=CC=[N+](C=C1)C(=C(C2=CC=C(C=C2)OC(F)F)[O-])C(=S)NC3=CC=CC4=CC=CC=C43,0,1
16196028,325.27,C14H17BrN2S,40.9,NULL,18,1,2,3,CC1=CC=CC=C1N=C2N(C(=CS2)C)CC=C.Br,0,2
16196027,456.6,C24H22F2N2OS2,96.4,7.9,31,1,5,6,CC1=CC(=C(C=C1C)C(=C(C(=S)NC2=CC=C(C=C2)SC(F)F)[N+]3=CC=CC=C3)[O-])C,0,1
16196023,498.6,C26H28F2N4O2S,88.5,6.7,35,1,6,9,CC1=CC(=C(N1CC=C)C)C(=C(C(=S)NC2=CC=C(C=C2)OC(F)F)[N+]3=CC=C(C=C3)N(C)C)[O-],0,1
16196017,363.8,C16H26ClNO6,81.4,NULL,24,2,7,0,C1COCCOCCOC2=C(C=CC(=C2)N)OCCOCCO1.Cl,0,2
16196016,300.74,C16H13ClN2O2,49.7,NULL,21,0,3,2,C1=CC=C2C(=C1)C=CC=[N+]2CC3=CC=C(C=C3)[N+](=O)[O-].[Cl-],0,2
16196014,451.5,C22H33N3O7,120,NULL,32,2,9,5,CC1CN(CC(O1)C)C(=O)C(C)N2CCN(CC2)C3=CC=CC=C3OC.C(=O)(C(=O)O)O,0,2
16196013,386.9,C19H15ClN2OS2,99.3,6,25,1,3,5,C1=CC=C(C=C1)CNC(=S)C(=C(C2=CC=C(S2)Cl)[O-])[N+]3=CC=CC=C3,0,1
16196012,371.9,C18H26ClNO5,87.1,NULL,25,2,6,8,CC1=C(C=CC(=C1)OCCCCCN2CCCC2)Cl.C(=O)(C(=O)O)O,0,2
16196010,453.8,C19H20ClN3O8,162,NULL,31,3,9,8,CN(CCOC1=CC=CC=C1)CC(=O)NC2=C(C=C(C=C2)Cl)[N+](=O)[O-].C(=O)(C(=O)O)O,0,2
16196007,395.4,C20H17N3O4S,130,4.6,28,1,5,5,CC1=C(C=C(C=C1)C(=C(C(=S)NCC2=CC=CO2)[N+]3=CC=CC=C3)[O-])[N+](=O)[O-],0,1
16196006,646.2,C40H38ClN2O4+,82,NULL,47,0,4,9,C[N+]1=C(C=C(C=C1C2=CC=CC=C2)CCCCC3=CC(=[N+](C(=C3)C4=CC=CC=C4)C)C5=CC=CC=C5)C6=CC=CC=C6.[O-]Cl(=O)(=O)=O,1,2
16196005,255.74,C16H14ClN,3.9,NULL,18,0,1,1,CC1=CC=[N+](C2=CC=CC=C12)C3=CC=CC=C3.[Cl-],0,2
16195997,437,C29H25ClN2,7.1,NULL,32,0,2,4,CN(C)C1=CC=C(C=C1)C=CC2=[N+](C3=C(C=C2)C4=CC=CC=C4C=C3)C5=CC=CC=C5.[Cl-],0,2
16195995,405.4,C21H27NO7,118,NULL,29,3,8,11,CC=CC1=CC(=C(C=C1)OCCCCNCC2=CC=CO2)OC.C(=O)(C(=O)O)O,0,2
16195993,453.8,C20H21ClFN3O6,136,NULL,31,4,8,7,CC1=CC=C(C=C1)NC(=O)CN(C)CC(=O)NC2=CC(=C(C=C2)F)Cl.C(=O)(C(=O)O)O,0,2
16195991,320.2,C13H15Cl2NO2S,59.6,NULL,19,1,4,5,CCOC1=C(C=C(C=C1)C2=NC(=CS2)CCl)OC.Cl,0,2
16195981,391.9,C21H26ClNO4,48,NULL,27,1,5,7,COC1=CC=C(C=C1)C(=O)CCN2CCC3=CC(=C(C=C3C2)OC)OC.Cl,0,2
16195976,373.9,C20H24ClN3O2,58.4,NULL,26,2,4,7,CCN(CC)CCNC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=CO3.Cl,0,2
16195975,396.3,C16H18BrN3O2S,83,NULL,23,1,5,5,CC1=NN(C(=O)C1)CCC2=NC(=CS2)C3=CC=C(C=C3)OC.Br,0,2
16195974,483.4,C21H14Cl2F2N2OS2,96.4,8.1,30,1,5,6,C1=CC=[N+](C=C1)C(=C(C2=C(C=C(C=C2)Cl)Cl)[O-])C(=S)NC3=CC=C(C=C3)SC(F)F,0,1
16195973,425.3,C17H21BrN4O2S,96,NULL,25,3,6,4,C1CCC(=NCC1)NNC2=NC(=CS2)C3=CC4=C(C=C3)OCCO4.Br,0,2
16195967,516.6,C29H29FN4O2S,88.5,6.7,37,1,5,7,CC1=CC(=C(N1C2=CC=CC=C2F)C)C(=C(C(=S)NC3=CC(=CC=C3)OC)[N+]4=CC=C(C=C4)N(C)C)[O-],0,1
16195966,433.3,C16H19BrF2N4OS,86.8,NULL,25,3,7,6,C1CCC(=NCC1)NNC2=NC(=CS2)C3=CC=C(C=C3)OC(F)F.Br,0,2
16195965,416.4,C21H24N2O7,134,NULL,30,4,8,7,CC(C(=O)NCC1=CC=CC=C1)NCC2COC3=CC=CC=C3O2.C(=O)(C(=O)O)O,0,2
16195961,379.68,C14H20BrClN2O3,54.7,NULL,21,2,4,6,C1COCCN1CCCNC(=O)C=CC2=CC=C(O2)Br.Cl,0,2
16195956,289.8,C18H24ClN,12.9,NULL,20,1,1,1,CC1=C2CC(CCC2=NC3=CC=CC=C13)C(C)(C)C.Cl,0,2
16195953,502.8,C21H20BrClF3N3O,37.9,NULL,30,1,5,3,C1CCC2=[N+](CC1)C3=C(N2CC(=O)NC4=CC=C(C=C4)Br)C=C(C=C3)C(F)(F)F.[Cl-],0,2
16195948,525.6,C26H31N5O7,143,NULL,38,3,10,7,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)CN3CCN(CC3)C4=CC=CC=C4OC.C(=O)(C(=O)O)O,0,2
16195946,446.4,C19H21F3N2O7,133,NULL,31,3,11,4,C1CCN2C(C1)COC(=O)C2CC(=O)NC3=CC=CC=C3C(F)(F)F.C(=O)(C(=O)O)O,0,2
16195943,392.9,C20H25ClN2O4,54.4,NULL,27,2,6,6,C1CN(CCN1CC(COC2=CC3=C(C=C2)OCO3)O)C4=CC=CC=C4.Cl,0,2
16195940,391.9,C19H22ClN3O2S,85.7,NULL,26,3,4,4,CC(=O)C1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)N3CCOCC3.Cl,0,2
16195935,384.4,C21H24N2O5,107,NULL,28,3,6,6,C1CN(CC2=CC=CC=C21)C(=O)CNCCC3=CC=CC=C3.C(=O)(C(=O)O)O,0,2
16195927,483.4,C21H14Cl2F2N2OS2,96.4,8.1,30,1,5,6,C1=CC=[N+](C=C1)C(=C(C2=C(C=CC(=C2)Cl)Cl)[O-])C(=S)NC3=CC=C(C=C3)SC(F)F,0,1
16195926,445,C23H25ClN2O3S,87.5,NULL,30,1,5,8,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)C[N+]2=CC=C(C=C2)CC3=CC=CC=C3.[Cl-],0,2
16195924,392.3,C17H18BrN3OS,63,NULL,23,1,4,5,COCCN1C(=CSC1=NC2=CN=CC=C2)C3=CC=CC=C3.Br,0,2
16195915,397.5,C22H27N3O2S,83.5,4.3,28,1,4,7,CCC1=CC=C(C=C1)C(=C(C(=S)NCCN2CCOCC2)[N+]3=CC=CC=C3)[O-],0,1
16195913,380.8,C20H20ClF3N2,8.8,NULL,26,0,4,2,C1CCC2=[N+](CC1)C3=C(N2CC4=CC=CC=C4)C=C(C=C3)C(F)(F)F.[Cl-],0,2
16195911,471.8,C23H20BrClN2S,44.2,NULL,28,1,3,4,CC1=CC=CC=C1NC2=[N+](C(=CS2)C3=CC=C(C=C3)Cl)C4=CC=CC=C4C.[Br-],0,2
16195907,408.5,C24H28N2O4,93.6,NULL,30,3,5,5,CC1=C(C2=CC=CC=C2N1)CN3CCC(CC3)CC4=CC=CC=C4.C(=O)(C(=O)O)O,0,2
16195906,326.9,C16H23ClN2OS,48.8,NULL,21,1,3,3,CN1CCCN(CC1)C(=O)C=CC2=CC=C(C=C2)SC.Cl,0,2
16195905,426.5,C26H19FN2OS,71.1,7.1,31,1,3,5,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=C(C(=S)NC3=CC=CC=C3F)[N+]4=CC=CC=C4)[O-],0,1
16195904,516.299,C23H20Br2N2S,44.2,NULL,28,1,3,4,CC1=CC=CC=C1NC2=[N+](C(=CS2)C3=CC=C(C=C3)Br)C4=CC=CC=C4C.[Br-],0,2
16195901,499,C21H23ClN2O6S2,150,NULL,32,2,8,7,CC1=CC(=C(C=C1)C)S(=O)(=O)OC2=C(C=C(C=C2)C=C3C(=O)N(C(=O)S3)CCN)OC.Cl,0,2
16195899,321.24,C14H13BrN2S,53.2,NULL,18,2,3,2,CC1=CSC(=N1)NC2=CC=CC3=CC=CC=C32.Br,0,2
16195897,325.27,C14H17BrN2S,44.2,NULL,18,1,3,4,CC1=CC=C(C=C1)NC2=[N+](C(=CS2)C)CC=C.[Br-],0,2
16195896,203.66,C9H14ClNO2,44.5,NULL,13,2,3,3,CCOC1=C(C=C(C=C1)N)OC.Cl,0,2
16195889,463.9,C22H24ClF2N5O2,62.6,NULL,32,2,7,6,CN1CCN(CC1)NC(=O)C2=CN(N=C2C3=CC=C(C=C3)OC(F)F)C4=CC=CC=C4.Cl,0,2
16195888,451.9,C21H26ClN3O6,128,NULL,31,4,8,9,CN(C)C(CNCC(=O)NC1=C(C=CC(=C1)Cl)OC)C2=CC=CC=C2.C(=O)(C(=O)O)O,0,2
16195761,378.8,C20H15ClN4O2,88,NULL,27,3,6,4,C1=CC=C2C(=C1)C(=NC(=N2)C3=CN=CC=C3)NC4=CC=C(C=C4)C(=O)O.Cl,0,2
16195711,481,C20H21ClN4O4S2,178,NULL,31,3,7,4,CC(C)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC4=C(S3)C=CC(=C4)[N+](=O)[O-].Cl,0,2
16195668,484.6,C24H24N2O5S2,153,4.9,33,2,7,10,COC1=CC=C(C=C1)C=C2C(=S)N(C(=O)S2)CCCCCC(=O)NC3=CC=CC=C3C(=O)O,0,1
16195648,452.9,C18H17ClN4O4S2,178,NULL,29,3,7,3,CN1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC4=C(S3)C=CC(=C4)[N+](=O)[O-].Cl,0,2
16195626,527.1,C22H27ClN4O5S2,129,NULL,34,1,9,8,CN(C)CCCN(C1=NC2=CC3=C(C=C2S1)OCO3)C(=O)C4=CC=C(C=C4)S(=O)(=O)N(C)C.Cl,0,2
16195620,312.3,C12H9FN2O3S2,129,3.3,20,1,6,4,C1=CC(=CC(=C1)F)NC(=O)CSC2=C(SC=C2)[N+](=O)[O-],0,1
16195603,298.3,C15H14N4O3,104,2,22,2,5,2,C1CN(C2=CC=CC=C21)C3=C(C=C(C=C3)C(=O)NN)[N+](=O)[O-],0,1
16195600,320.4,C15H16N2O4S,114,2.7,22,2,5,3,C1CCC(CC1)SC2=CC=C(O2)C=C3C(=O)NC(=O)NC3=O,0,1
16195593,288.22,C11H8N6O4,156,0.5,21,3,7,0,CC1=CC2=C(C(=C1N)[N+](=O)[O-])N=C3C(=N2)C(=O)NC(=O)N3,0,1
16195591,429.5,C19H19N5O3S2,151,1.7,29,1,7,3,CC1=CC2=C(C=C1)N=C(C2=CC3=C(N4C(=NC3=O)SN=C4S(=O)(=O)C(C)C)N)C,0,1
16195590,544.7,C31H33FN4O2S,81.2,4.8,39,1,6,8,CCN1CCN(CC1)CCNC(=O)C2=CC=C(C=C2)C=C3C(=O)N(C4=CC=CC=C4S3)CC5=CC=CC=C5F,0,1
16195586,288.4,C16H20N2OS,65.4,3.2,20,2,2,4,CCOC1=CC=C(C=C1)C=CC2=CC(NC(=S)N2)(C)C,0,1
16195582,344.4,C20H20N6,58.4,4.4,26,1,5,3,C1CCN(CC1)C2=CC=C(C=C2)NC3=NC4=CC=CC=C4N5C3=NN=C5,0,1
16195580,359.77,C16H14ClN5O3,97.2,4.2,25,1,6,3,CC1=CC=C(C=C1)CN=C2C(=NN(N2O)C3=CC(=CC=C3)Cl)[N+](=O)[O-],0,1
16195575,521.1,C24H26ClFN4O2S2,119,NULL,34,2,7,9,CCN(CC)CCN1C(=O)C2=C(C3=CC=CC=C3S2)N=C1SCC(=O)NC4=CC=C(C=C4)F.Cl,0,2
16195574,410,C19H24ClN3OS2,95.9,NULL,26,2,4,4,CC1CCN(CC1)CCCN2C(=O)C3=C(C4=CC=CC=C4S3)NC2=S.Cl,0,2
16195565,440.6,C22H36N2O5S,132,NULL,30,3,7,14,CCCCN(CCCC)CCNC(=O)CSCC1=CC=C(C=C1)C.C(=O)(C(=O)O)O,0,2
16195564,330.3,C12H8F2N2O3S2,129,3.4,21,1,7,4,C1=CC(=C(C=C1F)NC(=O)CSC2=C(SC=C2)[N+](=O)[O-])F,0,1
16195563,336.4,C14H12N2O4S2,146,2.9,22,1,6,5,CC(=O)C1=CC=C(C=C1)NC(=O)CSC2=C(SC=C2)[N+](=O)[O-],0,1
16195562,569.7,C32H35N5O3S,100,4.3,41,1,6,5,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)C3=CC=C(C=C3)CN4C(=O)C5=C(C=CC(=C5)N6CCOCC6)NC4=S,0,1
16195557,519.6,C29H33N3O6,116,NULL,38,3,8,7,CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=C(C=CC(=C4)OC)O)C5=CC=CC=C51.C(=O)(C(=O)O)O,0,2
16195555,512.6,C28H28N6O2S,107,3.9,37,2,6,6,COC1=CC=C(C=C1)N2CCN(CC2)CCNC(=O)C3=CC4=C(C=C3)C5=NC6=CC=CC=C6N5C(=S)N4,0,1
16195554,478.5,C28H18N2O6,117,5.3,36,1,6,5,C1=CC=C(C=C1)C2=CC(=CC3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])C(=O)N2C5=CC=C(C=C5)C(=O)O,0,1
16195540,455,C19H23ClN4O3S2,142,NULL,29,2,6,4,CC1CCN(CC1)CCCN2C(=O)C3=C(C4=C(S3)C=CC(=C4)[N+](=O)[O-])NC2=S.Cl,0,2
16195539,503.1,C26H35ClN4O2S,72.3,4.3,34,1,5,8,CCN1CCCC2=C1C=CC(=C2)CN(CCN3CCOCC3)C(=S)NC4=CC(=C(C=C4)OC)Cl,0,1
16195526,491.6,C25H25N5O4S,153,2,35,3,5,5,COC1=CC2=C(C=C1)NC3=C2NC(=S)N(C3=O)CC4=CC=C(C=C4)C(=O)N5CCC(CC5)C(=O)N,0,1
16195507,357.4,C18H19N3O3S,117,NULL,25,3,5,3,CC1=CC=C(C=C1)C2=NCN(C(=S)N2)C3=CC=C(C=C3)C(=O)O.CO,0,2
16195500,441.5,C24H15N3O4S,132,4.1,32,2,6,4,C1=CC=C(C=C1)C2=CSC3=NC(=O)C(=CC4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)C(=N)N23,0,1
16195498,538.7,C28H34N4O5S,98.8,3.3,38,0,8,6,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N3CCCCC3)C(=O)N4CCN(CC4)C5=CC=C(C=C5)OC,0,1
16195491,370.4,C19H18N2O4S,108,3.5,26,1,6,5,CCN=C1N(C(=O)C(=CC2=CC=C(O2)C3=CC(=CC=C3)C(=O)O)S1)CC,0,1
16195485,415.4,C19H17N3O6S,130,2.8,29,1,9,8,COC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)O)COC3=CC4=C(C=C3)OCO4,0,1
16195481,420.5,C18H20N4O4S2,156,1.6,28,3,6,7,COC1=C(C=C2C(=C1)C(=NC(=S)N2)NCCC3=CC=C(C=C3)S(=O)(=O)N)OC,0,1
16195470,464.5,C24H24N4O4S,128,2.8,33,3,5,6,COC1=CC2=C(C=C1)NC3=C2NC(=S)N(C3=O)CC4=CC=C(C=C4)C(=O)NCC5CCCO5,0,1
16195445,333.4,C20H19N3O2,58.4,3.1,25,1,4,4,CC1=CC(=C(C=C1)NC2C3=C(C=CC=N3)C(=O)N2CC4=CC=CO4)C,0,1
16195426,421.2,C20H13BrN4O2,74.7,3.3,27,1,4,2,C1=CC=C2C(=C1)C(=O)N(C(=N2)C3=CC=NC=C3)NC(=O)C4=CC=CC=C4Br,0,1
16195421,408.5,C16H16N4O5S2,165,1.1,27,1,8,5,CCOC1=CC(=CC2=C(N3C(=NC2=O)SC(=N3)S(=O)(=O)CC)N)C=CC1=O,0,1
16195414,453.2,C13H11Br2NO3S2,99.9,3.7,21,1,4,5,C1=CC=C(C(=C1)NC(=O)CCS(=O)(=O)C2=CC=C(S2)Br)Br,0,1
16195409,349.5,C20H19N3OS,73.5,3.7,25,1,4,4,CC1=C(C=C(C=C1)NC2C3=C(C=CC=N3)C(=O)N2CC4=CC=CS4)C,0,1
16195408,488,C22H14ClNO4S3,153,6.1,31,1,7,6,C1=CC(=CC(=C1)N2C(=O)C(=CC3=CC=C(O3)SCC4=CC=C(C=C4)Cl)SC2=S)C(=O)O,0,1
16195404,502.6,C24H30N4O6S,134,1.8,35,2,7,10,CC(C)OCCCNC(=O)C(C1=CC=CC=C1)NS(=O)(=O)C2=CC3=C(C=C2)N(C(=O)N(C3=O)C)C,0,1
16195402,472.5,C20H16N4O6S2,187,2.6,32,2,9,5,CC(C)S(=O)(=O)C1=NSC2=NC(=O)C(=CC3=CC=C(O3)C4=CC(=CC=C4)C(=O)O)C(=N)N21,0,1
16195393,364.4,C15H16N4O3S2,136,2.7,24,0,7,4,C1CN(CCN1C2=CC=CC=N2)C(=O)CSC3=C(SC=C3)[N+](=O)[O-],0,1
16195385,533.4,C23H24IN3O2S,81.5,NULL,30,1,4,4,CC1=C(C(=CC=C1)C)NC(=O)C2(C3=CC=CC=[N+]3CC(=O)N2CC4=CC=CS4)C.[I-],0,2
16195379,382.5,C16H18N2O5S2,147,3.5,25,1,7,8,COC1=CC(=C(C=C1)OC)CCNC(=O)CSC2=C(SC=C2)[N+](=O)[O-],0,1
16195367,391.5,C17H13NO4S3,153,4,25,1,7,6,C1=CC=C(C=C1)CSC2=CC=C(O2)C=C3C(=O)N(C(=S)S3)CC(=O)O,0,1
16195360,345.36,C15H19N7O3,132,2.3,25,3,9,6,C1CCN(C1)C2=NC(=NC(=N2)NC3=CC=C(C=C3)[N+](=O)[O-])NCCO,0,1
16195359,277.34,C13H15N3O2S,87,1.7,19,2,3,5,COC1=C(C=C2C(=C1)C(=NC(=S)N2)NCC=C)OC,0,1
16195358,472.5,C26H24N4O5,121,3.3,35,3,5,6,CC1=CC=C(C=C1)NC(=O)CN2C(=O)C(=CC3=C(N(C(=C3)C)C4=CC=CC(=C4)C(=O)O)C)NC2=O,0,1
16195349,372.21,C13H11BrFN3O2S,87.1,NULL,21,2,5,2,C1CN2C(=O)C=C(SC2=N1)C(=O)NC3=CC=C(C=C3)F.Br,0,2
16195342,323.3,C18H14FN3O2,58.4,2.4,24,1,5,4,C1=CC(=CC(=C1)F)NC2C3=C(C=CC=N3)C(=O)N2CC4=CC=CO4,0,1
16195333,460.5,C23H28N2O6S,133,NULL,32,2,8,7,CC1=CC=C(C=C1)OCC(=O)N2CCN(CC2)CC3=CC=C(C=C3)SC.C(=O)(C(=O)O)O,0,2
16195332,526,C28H32ClN3O5,82.6,NULL,37,2,7,9,COC1=CC(=CC=C1)OCC(CN2CCN(CC2)CCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O.Cl,0,2
16195322,440.3,C22H21IN2,19.7,NULL,25,1,1,3,CC[N+]1=C(C=CC2=C1C=CC(=C2)C)C=CC3=CNC4=CC=CC=C43.[I-],0,2
16195320,343.4,C18H21N3O4,95.2,3.6,25,1,5,4,CC1CCC2C(C1)C(=O)N(C2=O)C3=CC(=C(C=C3)NCC=C)[N+](=O)[O-],0,1
16195305,440.4,C22H24N4O6,143,NULL,32,3,8,5,C1CN(CCN1CC2=CC=CC=C2[N+](=O)[O-])CC3=CNC4=CC=CC=C43.C(=O)(C(=O)O)O,0,2
16195300,330.5,C11H10N2O2S4,173,3.6,19,2,6,2,CC(=C1C(=O)NC(=S)S1)CC(=C2C(=O)NC(=S)S2)C,0,1
16195299,378.4,C16H18N4O5S,172,3.2,26,2,7,4,CC(C)C1=C(C(=NO1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N)[N+](=O)[O-],0,1
16195298,372.4,C17H12N2O4S2,126,3.5,25,1,6,3,CS(=O)(=O)C1=CC2=C(C=C1)SC(=N2)NC(=O)C3=CC4=CC=CC=C4O3,0,1
16195297,273.5,C7H7Cl3N2O3,58.3,2.7,15,0,4,1,CN1CCOC1=C(C(=C(Cl)Cl)Cl)[N+](=O)[O-],0,1
16195293,357.2,C15H18Cl2N4O2,64.3,3.7,23,1,5,4,CN1CCNC1=C(C(=C(Cl)Cl)N(C)CC2=CC=CC=C2)[N+](=O)[O-],0,1
16195292,424.4,C22H24N4O5,98.9,2.8,31,0,7,4,CC1CC(=O)N(C1=O)C2=CC(=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC)[N+](=O)[O-],0,1
16195290,296.66,C11H9ClN4O4,116,3.2,20,2,6,1,CC1=CC2=C(C=C1)NC(=C(C=C([N+](=O)[O-])Cl)[N+](=O)[O-])N2,0,1
16195281,442.4,C21H23FN6O4,133,2.5,32,3,8,9,COC1=C(C=C(C=C1)CCNC(=O)C2=C(N(N=N2)CC(=O)NC3=CC(=CC=C3)F)N)OC,0,1
16195270,188.61,C7H9ClN2O2,89.3,NULL,12,4,4,1,C1=CC(=C(C=C1N)C(=O)O)N.Cl,0,2
16195269,412.9,C18H25ClN4O5,125,NULL,28,6,7,9,C1=C(C=NC=C1O)C(=O)NCCCCCCNC(=O)C2=CC(=CN=C2)O.O.Cl,0,3
16195267,374.8,C17H18ClF3N2O2,50.4,NULL,25,3,6,6,COC1=CC=CC=C1CNCC(=O)NC2=CC=C(C=C2)C(F)(F)F.Cl,0,2
16195263,227.69,C10H14ClN3O,74.9,NULL,15,4,3,3,C1=CC2=C(C=C1N)NC(=N2)CCCO.Cl,0,2
16195260,346.72,C16H11ClN2O5,104,3.8,24,2,6,3,C1=CC=C2C(=C1)C(OC2=O)C(=CNC3=C(C=CC(=C3)Cl)O)[N+](=O)[O-],0,1
16195230,369.3,C15H16INS,32.1,NULL,18,0,2,1,CC[N+]1=C(C2=C(C=C1C)C3=CC=CC=C3S2)C.[I-],0,2
16195229,480.3,C20H22BrN3O6,127,NULL,30,2,8,5,C1CN(CCN1CC2=CC=C(C=C2)Br)CC3=CC(=CC=C3)[N+](=O)[O-].C(=O)(C(=O)O)O,0,2
16195226,194.16,C9H7FN2O2,49.4,0.8,14,1,3,1,C1C(=O)NN(C1=O)C2=CC(=CC=C2)F,0,1
16195224,237.61,C8H7ClF3N3,54.7,NULL,15,3,5,0,C1=CC(=C2C(=C1)NC(=N2)C(F)(F)F)N.Cl,0,2
16195218,454.5,C25H30N2O6,112,NULL,33,3,7,7,COC1=CC=C(C=C1)C2=CC3=CC=CC=C3N2CC(CN4CCCCC4)O.C(=O)(C(=O)O)O,0,2
16195214,466.5,C26H30N2O6,99.5,NULL,34,2,8,7,COC1=CC(=C(C=C1)OC)CN2CCN(CC2)CC3=CC=CC4=CC=CC=C43.C(=O)(C(=O)O)O,0,2
